id,type,award,thumb
C2154,Conference,Honorable Mention,
C2519,Conference,Honorable Mention,
C2029,Conference,Honorable Mention,
C2200,Conference,Honorable Mention,
C2148,Conference,Best Paper,
C2429,Conference,Best Paper,
C2538,Conference,Best Paper,
J1044,Journal,Honorable Mention,
J1171,Journal,Honorable Mention,
J1244,Journal,Best Paper,
J1050,Journal,Best Paper,
C2183,Poster,Honorable Mention,
C2151,Poster,Best Poster,
PO1024,Demo,People's Choice Demo,
PO2278,Demo,Honorable Mention,
PO1026,Demo,Best Demo,
PO1026,3DUI Contest,Best 3DUI,
,,,
Xiaodan Hu,Ready Player 21,Winner,
