id,author,title,affiliation
DC1001,Florian Mathis,VirSec: Virtual Reality as Cost-Effective Test Bed for Usability and Security Evaluations,
DC1002,Zhiming Hu,Eye Fixation Forecasting in Task-Oriented Virtual Reality,
DC1008,Eugene Kukshinov,Presence in VR: Developing measure and stimulus,
DC1012,Nermin Shaltout,Emotion regulation via Eyegaze,
DC1014,Shimmila Bhowmick,Exploring Body Gestures for Small Object Selection in Dense Environment in HMD VR for Data Visualization Applications,
DC1015,Dilshani Rangana Kumarapeli,Privacy in VR: Empowering Users with Emotional Privacy from Verbal and Non-verbal Behavior of their Avatars.,
DC1017,Feiyu Lu,Glanceable AR: Towards an Always-on Augmented Reality Future,
DC1018,Alina Nikolaou,Attitude Change in Immersive Virtual Environments,
DC1019,Nuno Martins,Situated augmented reality: beyond the egocentric viewpoint,
DC1021,Julia Belger,Clinical Application of Immersive VR in Spatial Cognition: The Assessment of Spatial Memory and Unilateral Spatial Neglect in Neurological Patients,
DC1022,Valentin Vallageas,Embodying an avatar with an asymmetrical lower body to modulate the dynamic characteristics of gait initiation,
DC1024,Niklas Stein,Analyzing Visual Perception and Predicting Locomotion using Virtual Reality and Eye Tracking,
DC1025,Iris Willaert,The Effect of Modulating The Step Length of an Embodied Self-Avatars on Gait Symmetry During Treadmill Walking,
DC1026,Mohammed Safayet Arefin,SharpView AR: Enhanced Visual Acuity for Out-of-Focus Virtual Content,
DC1028,Moloud Nasiri,Gait Differences in the Real World and Virtual Reality: The Effect of Prior Virtual Reality Experience,
DC1031,Isayas Berhe Adhanom,Towards Universal VR Sickness Mitigation Strategies,
DC1034,PS Berge,“SHOW YOUR DEDICATION:” VR Games and Outmersion,
DC1035,Daniel Eckhoff,Psychophysical Effects of Augmented Reality Experiences,
DC1037,Hannah Greber,Immersive Journalism - The Future of the News?,
DC1038,Amanda Teneil Zilla,The Adaptation of Caribbean Literary Texts into VR,
